Namespace(env_name='SimpleVSS-v0', number=3, random_seed=0, gamma=0.99, batch_size=1024, lr=1e-05, exploration_noise=0.1, polyak=0.995, policy_noise=0.2, noise_clip=0.5, policy_delay=2, max_episodes=10000000000000, max_timesteps=200, save_rate=5000, restore=False, restore_env_name='', restore_num=1, restore_step_k=4731, rl_opponent=False, opponent_prefix='', policy_update_freq=1, multithread=True, device='cpu', render=0, replay='proportional_PER', replay_max_size=500000.0, env_noise=0, exp_setting='different_opponent')
===============SimpleVSS
Environment initialized
16
Number:3	Episode: 95	Step: 18k	Reward: 2.19	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 6 	Avg_Epi_Time: 1.6073416233062745 
Number:3	Episode: 96	Step: 18k	Reward: 1.97	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 6 	Avg_Epi_Time: 1.6214668989181518 
Number:3	Episode: 97	Step: 18k	Reward: -11.43	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 6 	Avg_Epi_Time: 1.690308117866516 
Number:3	Episode: 98	Step: 18k	Reward: 14.97	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 6 	Avg_Epi_Time: 1.7153163194656371 
Number:3	Episode: 99	Step: 19k	Reward: 5.54	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 6 	Avg_Epi_Time: 1.7224910259246826 
Number:3	Episode: 100	Step: 19k	Reward: -7.84	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 6 	Avg_Epi_Time: 1.7090900897979737 
Number:3	Episode: 101	Step: 19k	Reward: -13.71	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 6 	Avg_Epi_Time: 1.685577154159546 
Number:3	Episode: 102	Step: 19k	Reward: 11.53	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 6 	Avg_Epi_Time: 1.5700367450714112 
Number:3	Episode: 103	Step: 19k	Reward: 6.97	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 6 	Avg_Epi_Time: 1.5344072580337524 
Number:3	Episode: 104	Step: 20k	Reward: 8.09	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 6 	Avg_Epi_Time: 1.4934045791625976 
